Token Types, AST, Pretty Name, Color
single_input,TEST,X,X
file_input,,X,X
eval_input,,X,X
decorator,,X,X
decorators,,X,X
decorated,,X,X
funcdef,,Function Definitions,#AEC6CF
parameters,,Parameters,#FFB347
typedargslist,,X,X
tfpdef,,X,X
varargslist,,X,X
vfpdef,,X,X
stmt,,X,X
simple_stmt,,X,X
small_stmt,,X,X
expr_stmt,,Expression Statements,#BEDA0B
testlist_star_expr,,X,X
augassign,,Augmented Assignment,#00ffff
del_stmt,,X,X
pass_stmt,,Pass Statements,#FDFD96
flow_stmt,,X,X
break_stmt,,X,X
continue_stmt,,X,X
return_stmt,,Return Statement,#966FD6
yield_stmt,,X,X
raise_stmt,,X,X
import_stmt,,X,X
import_name,,Import Statement,#FF6666
import_from,,X,X
import_as_name,,X,X
dotted_as_name,,X,X
import_as_names,,X,X
dotted_as_names,,X,X
dotted_name,,X,X
global_stmt,,X,X
nonlocal_stmt,,X,X
assert_stmt,,X,X
compound_stmt,,X,X
if_stmt,,If Statements,#FFFF00
while_stmt,,While Loops,#F0E68C
for_stmt,,For Loops,#F7ABAB
try_stmt,,Try Statements,#966FD6
with_stmt,,X,X
with_item,,X,X
except_clause,,Except Clauses,#779ECB
suite,,X,X
test,,X,X
test_nocond,,X,X
lambdef,,X,X
lambdef_nocond,,X,X
or_test,,X,X
and_test,,X,X
not_test,,X,X
comparison,,X,X
comp_op,,Comparison Operator,#DAA520
star_expr,,X,X
expr,,Expressions,#F0ABF7
xor_expr,,X,X
and_expr,,And,#F0E68C
shift_expr,,X,X
arith_expr,,X,X
term,,X,X
factor,,X,X
power,,X,X
trailed_atom,,X,X
atom,,Atoms,#ABDBF7
testlist_comp,,X,X
trailer,,X,X
subscriptlist,,X,X
subscript,,X,X
sliceop,,X,X
exprlist,,X,X
testlist,,X,X
dictorsetmaker,,Dictionary,#00FF7F
classdef,,Class Definitions,#03C03C
arglist,,Argument Lists,#F7CDAB
argument,,Arguments,#EAF7AB
comp_iter,,X,X
comp_for,,X,X
comp_if,,X,X
yield_expr,,X,X
yield_arg,,X,X
str,,Strings,#CAABF7
number,,Numbers,#DEA5A4
integer,,Integers,#ABF7C6
